ime,pozicija,starost,odigrane_tekme,prva_postava,igralni_cas,uspesni_meti,poskusi_metov,procent_metov,meti_za_tri,poskusi_za_tri,procent_za_tri,met_za_dve,poskus_za_dve,procent_za_dve
Alex Abrines,SG,24,75,8,15.1,1.5,3.9,.395,1.1,2.9,.380,0.4,0.9,.443
Quincy Acy,PF,27,70,8,19.4,1.9,5.2,.356,1.5,4.2,.349,0.4,1.0,.384
Steven Adams,C,24,76,76,32.7,5.9,9.4,.629,0.0,0.0,.000,5.9,9.3,.631
Bam Adebayo,C,20,69,19,19.8,2.5,4.9,.512,0.0,0.1,.000,2.5,4.8,.523
Arron Afflalo,SG,32,53,3,12.9,1.2,3.1,.401,0.5,1.3,.386,0.7,1.7,.413
Cole Aldrich,C,29,21,0,2.3,0.2,0.7,.333,0.0,0.0,,0.2,0.7,.333
LaMarcus Aldridge,C,32,75,75,33.5,9.2,18.0,.510,0.4,1.2,.293,8.8,16.7,.526
Jarrett Allen,C,19,72,31,20.0,3.3,5.5,.589,0.1,0.2,.333,3.2,5.3,.599
Kadeem Allen,PG,25,18,1,5.9,0.3,1.2,.273,0.0,0.6,.000,0.3,0.6,.545
Tony Allen,SF,36,22,0,12.4,2.0,4.1,.484,0.2,0.5,.333,1.8,3.6,.506
Al-Farouq Aminu,PF,27,69,67,30.0,3.3,8.4,.395,1.8,4.9,.369,1.5,3.5,.432
Justin Anderson,SF,24,38,0,13.7,2.3,5.3,.431,0.9,2.7,.330,1.4,2.6,.535
Kyle Anderson,SF,24,74,67,26.7,3.1,5.9,.527,0.3,0.8,.333,2.9,5.1,.556
Ryan Anderson,PF,29,66,50,26.1,3.1,7.3,.431,2.0,5.1,.386,1.2,2.1,.539
Ike Anigbogu,C,19,11,0,2.7,0.4,0.8,.444,0.0,0.0,,0.4,0.8,.444
Giannis Antetokounmpo,PF,23,75,75,36.7,9.9,18.7,.529,0.6,1.9,.307,9.3,16.8,.554
Carmelo Anthony,PF,33,78,78,32.1,6.1,15.0,.404,2.2,6.1,.357,3.9,8.9,.437
OG Anunoby,SF,20,74,62,20.0,2.2,4.7,.471,1.0,2.7,.371,1.2,2.0,.604
Ryan Arcidiacono,PG,23,24,0,12.7,0.7,1.7,.415,0.4,1.3,.290,0.3,0.4,.800
Trevor Ariza,SF,32,67,67,33.9,4.0,9.7,.412,2.5,6.9,.368,1.5,2.8,.519
Darrell Arthur,PF,29,19,1,7.4,1.2,2.5,.468,0.4,1.2,.348,0.7,1.3,.583
Jamel Artis,SG,25,15,1,18.6,2.1,5.3,.392,0.5,1.9,.276,1.5,3.3,.460
Omer Asik,C,31,18,0,10.1,0.5,1.2,.409,0.0,0.0,,0.5,1.2,.409
D.J. Augustin,PG,30,75,36,23.5,3.3,7.2,.452,1.5,3.6,.419,1.7,3.6,.485
Luke Babbitt,SF,28,50,14,14.3,1.8,4.3,.423,1.2,3.1,.385,0.6,1.2,.525
Dwayne Bacon,SG,22,53,6,13.5,1.4,3.6,.375,0.2,0.8,.256,1.2,2.8,.409
Ron Baker,SG,24,29,1,13.3,0.7,2.0,.339,0.4,1.1,.333,0.3,0.9,.346
Wade Baldwin,PG,21,7,0,11.4,2.0,3.0,.667,0.6,0.7,.800,1.4,2.3,.625
Lonzo Ball,PG,20,52,50,34.2,3.9,10.8,.360,1.7,5.7,.305,2.2,5.2,.420
J.J. Barea,PG,33,69,10,23.2,4.4,10.0,.439,1.7,4.5,.367,2.7,5.5,.499
Harrison Barnes,PF,25,77,77,34.2,7.0,15.7,.445,1.5,4.3,.357,5.4,11.4,.478
Will Barton,SG,27,81,40,33.1,5.7,12.7,.452,1.9,5.2,.370,3.8,7.5,.510
Nicolas Batum,SG,29,64,64,31.0,4.2,10.2,.415,1.4,4.3,.336,2.8,5.9,.473
Jerryd Bayless,SG,29,39,11,23.7,2.8,6.7,.416,1.4,3.7,.370,1.4,3.0,.474
Aron Baynes,C,31,81,67,18.3,2.6,5.5,.471,0.0,0.3,.143,2.6,5.2,.487
Kent Bazemore,SG,28,65,65,27.5,4.4,10.4,.420,1.7,4.2,.394,2.7,6.2,.438
Bradley Beal,SG,24,82,82,36.3,8.3,18.1,.460,2.4,6.5,.375,5.9,11.6,.507
Malik Beasley,SG,21,62,0,9.4,1.2,2.9,.410,0.5,1.3,.341,0.7,1.5,.469
Michael Beasley,PF,29,74,30,22.3,5.5,10.9,.507,0.5,1.2,.395,5.1,9.7,.520
Marco Belinelli,SG,31,80,2,24.3,4.2,9.6,.441,1.9,4.9,.377,2.4,4.6,.509
Jordan Bell,C,23,57,13,14.2,2.0,3.2,.627,0.0,0.1,.000,2.0,3.2,.641
DeAndre' Bembry,SF,23,26,3,17.5,2.0,4.9,.414,0.4,1.2,.367,1.6,3.8,.429
Dragan Bender,PF,20,82,37,25.2,2.3,5.9,.386,1.4,3.9,.366,0.8,2.0,.426
Davis Bertans,PF,25,77,10,14.1,2.1,4.8,.440,1.2,3.3,.373,0.9,1.5,.588
Patrick Beverley,SG,29,11,11,30.4,4.4,10.8,.403,2.2,5.5,.400,2.2,5.4,.407
Khem Birch,C,25,42,0,13.8,1.6,3.0,.540,0.0,0.0,,1.6,3.0,.540
Jabari Bird,SG,23,13,1,8.8,1.2,2.0,.577,0.2,0.5,.429,0.9,1.5,.632
Bismack Biyombo,C,25,82,25,18.2,2.2,4.3,.520,0.0,0.0,.000,2.2,4.3,.521
Nemanja Bjelica,PF,29,67,21,20.5,2.6,5.5,.461,1.1,2.7,.415,1.4,2.8,.505
Tarik Black,C,26,51,2,10.5,1.5,2.5,.591,0.0,0.2,.091,1.5,2.3,.638
Antonio Blakeney,SG,21,19,0,16.5,2.8,7.5,.371,0.8,2.7,.288,2.0,4.8,.418
Eric Bledsoe,PG,28,74,74,31.4,6.3,13.4,.473,1.7,4.9,.347,4.6,8.5,.545
Vander Blue,SG,25,5,0,9.0,0.2,1.0,.200,0.0,0.4,.000,0.2,0.6,.333
Bogdan Bogdanovic,SG,25,78,53,27.9,4.4,9.9,.446,1.7,4.2,.392,2.8,5.7,.485
Bojan Bogdanovic,SF,28,80,80,30.8,5.1,10.7,.474,1.9,4.8,.402,3.1,5.8,.534
Andrew Bogut,C,33,23,5,9.4,0.7,1.1,.680,0.0,0.0,,0.7,1.1,.680
Joel Bolomboy,PF,24,6,0,6.3,0.5,1.0,.500,0.0,0.2,.000,0.5,0.8,.600
Devin Booker,SG,21,54,54,34.5,8.4,19.5,.432,2.7,7.1,.383,5.7,12.4,.460
Trevor Booker,PF,30,68,7,17.0,2.6,5.0,.516,0.1,0.5,.242,2.5,4.6,.545
Chris Boucher,PF,25,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,
Avery Bradley,SG,27,46,46,31.2,5.6,13.6,.414,1.6,4.4,.369,4.0,9.2,.436
Tony Bradley,C,20,9,0,3.2,0.3,1.2,.273,0.0,0.1,.000,0.3,1.1,.300
Corey Brewer,SF,31,72,18,16.8,2.0,4.4,.449,0.4,1.5,.282,1.5,2.9,.539
Malcolm Brogdon,PG,25,48,20,29.9,5.1,10.5,.485,1.3,3.4,.385,3.8,7.1,.532
Aaron Brooks,PG,33,32,1,5.9,0.9,2.2,.406,0.3,1.0,.355,0.5,1.2,.447
Dillon Brooks,SF,22,82,74,28.7,4.1,9.4,.440,1.1,3.2,.356,3.0,6.2,.484
MarShon Brooks,SG,29,7,1,27.6,7.3,14.6,.500,2.7,4.6,.594,4.6,10.0,.457
Anthony Brown,SF,25,1,0,4.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,
Bobby Brown,PG,33,20,0,5.8,1.0,2.9,.328,0.6,2.0,.275,0.4,0.9,.444
Jaylen Brown,SG,21,70,70,30.7,5.3,11.5,.465,1.7,4.4,.395,3.6,7.1,.507
Lorenzo Brown,PG,27,14,0,9.9,1.0,2.4,.412,0.1,0.9,.167,0.9,1.6,.545
Markel Brown,SG,26,4,0,7.8,0.5,1.8,.286,0.3,1.3,.200,0.3,0.5,.500
Sterling Brown,SG,22,54,4,14.4,1.5,3.8,.400,0.6,1.7,.352,0.9,2.1,.439
Nicolas Brussino,SF,24,4,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,
Thomas Bryant,C,20,15,0,4.8,0.5,1.4,.381,0.1,0.7,.100,0.5,0.7,.636
Reggie Bullock,SF,26,62,52,27.9,4.3,8.8,.489,2.0,4.5,.445,2.3,4.3,.536
Trey Burke,PG,25,36,9,21.8,5.4,10.7,.503,1.1,2.9,.362,4.3,7.8,.556
Alec Burks,SG,26,64,1,16.5,2.7,6.5,.411,0.7,2.2,.331,1.9,4.3,.452
Jimmy Butler,SG,28,59,59,36.7,7.4,15.6,.474,1.2,3.4,.350,6.2,12.2,.509
Dwight Buycks,PG,28,29,0,14.7,2.8,6.8,.414,0.5,1.6,.333,2.3,5.3,.438
Bruno Caboclo,SF,22,12,0,8.9,0.8,2.6,.290,0.3,1.4,.176,0.5,1.2,.429
Jose Calderon,PG,36,57,32,16.0,1.6,3.2,.503,0.8,1.7,.464,0.8,1.5,.545
Kentavious Caldwell-Pope,SG,24,74,74,33.2,4.6,10.8,.426,2.1,5.6,.383,2.4,5.2,.473
Isaiah Canaan,PG,26,20,1,21.1,2.6,6.9,.380,1.1,3.3,.333,1.5,3.6,.423
Clint Capela,C,23,74,74,27.5,6.0,9.1,.652,0.0,0.0,.000,6.0,9.1,.653
DeMarre Carroll,SF,31,73,73,29.9,4.5,10.8,.414,2.0,5.4,.371,2.5,5.4,.457
Vince Carter,SF,41,58,5,17.7,2.0,4.9,.403,1.0,2.8,.345,1.0,2.0,.483
Michael Carter-Williams,PG,26,52,2,16.1,1.5,4.4,.332,0.3,1.1,.237,1.2,3.3,.365
Alex Caruso,PG,23,37,7,15.2,1.4,3.1,.431,0.4,1.2,.302,1.0,2.0,.507
Omri Casspi,SF,29,53,7,14.0,2.3,3.9,.580,0.2,0.4,.455,2.1,3.5,.595
Willie Cauley-Stein,C,24,73,58,28.0,5.3,10.6,.502,0.0,0.2,.250,5.3,10.4,.506
Tyler Cavanaugh,PF,23,39,1,13.3,1.7,3.9,.441,0.8,2.3,.360,0.9,1.6,.556
Mario Chalmers,PG,31,66,10,21.5,2.5,6.7,.379,0.8,2.9,.277,1.7,3.8,.456
Tyson Chandler,C,35,46,46,25.0,2.6,4.1,.647,0.0,0.0,,2.6,4.1,.647
Wilson Chandler,SF,30,74,71,31.7,3.8,8.5,.445,1.2,3.3,.358,2.6,5.2,.501
Marquese Chriss,PF,20,72,49,21.2,2.8,6.6,.423,0.8,2.6,.295,2.0,4.0,.509
Ian Clark,SG,26,74,2,19.7,3.0,6.7,.448,0.8,2.6,.318,2.2,4.1,.533
Jordan Clarkson,SG,25,81,2,23.3,5.3,11.8,.451,1.4,3.9,.352,3.9,7.9,.500
Gian Clavell,SG,24,7,0,9.1,0.9,2.6,.333,0.9,2.1,.400,0.0,0.4,.000
Antonius Cleveland,SG,23,17,0,7.2,0.5,1.2,.381,0.2,0.2,.750,0.3,1.0,.294
John Collins,PF,20,74,26,24.1,4.2,7.4,.576,0.2,0.6,.340,4.0,6.7,.598
Zach Collins,C,20,66,1,15.8,1.7,4.4,.398,0.5,1.7,.310,1.2,2.7,.455
Kyle Collinsworth,SF,26,32,2,15.0,1.2,3.1,.384,0.1,0.5,.235,1.1,2.6,.415
Darren Collison,PG,30,69,64,29.2,4.6,9.2,.495,1.4,3.0,.468,3.2,6.3,.508
Nick Collison,PF,37,15,0,5.0,0.9,1.3,.684,0.0,0.0,,0.9,1.3,.684
Mike Conley,PG,30,12,12,31.1,5.3,14.0,.381,2.0,6.4,.312,3.3,7.6,.440
Pat Connaughton,SG,25,82,5,18.1,2.0,4.8,.423,0.9,2.6,.352,1.1,2.2,.506
Quinn Cook,PG,24,33,18,22.4,3.7,7.6,.484,1.4,3.2,.442,2.3,4.5,.514
Charles Cooke,SG,23,13,0,2.9,0.2,1.1,.143,0.1,0.6,.125,0.1,0.5,.167
Jack Cooley,PF,26,7,0,12.4,1.9,3.9,.481,0.0,0.0,,1.9,3.9,.481
Matt Costello,C,24,4,0,8.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500
DeMarcus Cousins,C,27,48,48,36.2,8.5,18.0,.470,2.2,6.1,.354,6.3,11.9,.530
Robert Covington,SF,27,80,80,31.7,4.3,10.5,.413,2.5,6.9,.369,1.8,3.6,.497
Allen Crabbe,SG,25,75,68,29.3,4.5,11.0,.407,2.7,7.1,.378,1.8,3.9,.461
Torrey Craig,SF,27,39,5,16.1,1.6,3.5,.453,0.4,1.5,.293,1.2,2.0,.570
Jamal Crawford,SG,37,80,0,20.7,3.9,9.3,.415,1.3,3.9,.331,2.6,5.4,.477
Jordan Crawford,SG,29,5,0,10.6,2.4,5.4,.444,1.6,2.8,.571,0.8,2.6,.308
Jae Crowder,SF,27,80,47,26.1,3.4,8.4,.404,1.4,4.3,.323,2.0,4.1,.488
Dante Cunningham,SF,30,73,25,21.4,2.2,5.0,.451,0.8,2.3,.345,1.5,2.7,.541
Stephen Curry,PG,29,51,51,32.0,8.4,16.9,.495,4.2,9.8,.423,4.2,7.1,.595
Troy Daniels,SG,26,79,15,20.5,2.9,7.3,.403,2.3,5.8,.400,0.6,1.5,.419
Anthony Davis,PF,24,75,75,36.4,10.4,19.5,.534,0.7,2.2,.340,9.7,17.3,.558
Deyonta Davis,C,21,62,6,15.2,2.6,4.3,.608,0.0,0.0,,2.6,4.3,.608
Ed Davis,C,28,78,0,18.9,2.2,3.7,.582,0.0,0.0,.000,2.2,3.7,.584
Dewayne Dedmon,C,28,62,46,24.9,4.0,7.7,.524,0.8,2.3,.355,3.2,5.4,.595
Sam Dekker,PF,23,73,1,12.1,1.8,3.5,.494,0.1,0.8,.167,1.6,2.7,.593
Malcolm Delaney,PG,28,54,3,18.8,2.0,5.3,.382,0.9,2.3,.371,1.2,3.0,.391
Matthew Dellavedova,PG,27,38,3,18.7,1.4,4.0,.362,0.8,2.1,.372,0.7,1.9,.351
Luol Deng,SF,32,1,1,13.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500
DeMar DeRozan,SG,28,80,80,33.9,8.1,17.7,.456,1.1,3.6,.310,7.0,14.1,.494
Cheick Diallo,PF,21,52,0,11.2,2.0,3.4,.580,0.0,0.0,,2.0,3.4,.580
Gorgui Dieng,C,28,79,0,16.9,2.4,4.9,.479,0.2,0.8,.311,2.1,4.1,.511
Spencer Dinwiddie,PG,24,80,58,28.8,4.1,10.5,.387,1.8,5.4,.326,2.3,5.1,.452
Tyler Dorsey,SG,21,56,5,17.4,2.6,6.8,.377,1.3,3.6,.362,1.3,3.3,.393
Damyean Dotson,SG,23,44,2,10.8,1.6,3.7,.447,0.5,1.5,.324,1.1,2.1,.538
Milton Doyle,SG,24,10,0,12.5,1.3,4.7,.277,0.4,2.3,.174,0.9,2.4,.375
PJ Dozier,PG,21,2,0,1.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500
Goran Dragic,PG,31,75,75,31.7,6.5,14.3,.450,1.5,4.0,.370,5.0,10.3,.481
Larry Drew,PG,27,10,0,7.0,0.7,2.4,.292,0.3,0.9,.333,0.4,1.5,.267
Andre Drummond,C,24,78,78,33.7,6.0,11.3,.529,0.0,0.1,.000,6.0,11.2,.536
Jared Dudley,PF,32,48,0,14.3,1.0,2.5,.393,0.6,1.7,.363,0.4,0.9,.452
Kris Dunn,PG,23,52,43,29.3,5.5,12.8,.429,0.8,2.6,.321,4.7,10.2,.457
Kevin Durant,PF,29,68,68,34.2,9.3,18.0,.516,2.5,6.1,.419,6.7,11.9,.565
Jarell Eddie,SF,26,3,0,3.0,0.0,0.7,.000,0.0,0.7,.000,0.0,0.0,
Henry Ellenson,PF,21,38,0,8.7,1.4,3.8,.363,0.5,1.6,.333,0.9,2.3,.384
Wayne Ellington,SG,30,77,2,26.5,3.7,9.1,.407,2.9,7.5,.392,0.8,1.6,.479
Joel Embiid,C,23,63,63,30.3,8.1,16.8,.483,1.0,3.4,.308,7.0,13.4,.527
James Ennis,SF,27,72,22,22.3,2.5,5.3,.474,0.7,2.1,.333,1.8,3.2,.567
Tyler Ennis,PG,23,54,11,12.6,1.7,4.1,.420,0.3,1.0,.250,1.5,3.1,.476
Jawun Evans,PG,21,48,4,16.2,1.9,5.3,.352,0.3,1.1,.278,1.5,4.1,.372
Jeremy Evans,SF,30,1,0,5.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000
Tyreke Evans,PG,28,52,32,30.9,7.0,15.6,.452,2.2,5.5,.399,4.8,10.1,.482
Dante Exum,PG,22,14,0,16.8,3.0,6.2,.483,0.4,1.3,.278,2.6,4.9,.536
Kenneth Faried,PF,28,32,7,14.4,2.4,4.6,.514,0.0,0.0,.000,2.4,4.6,.517
Derrick Favors,C,26,77,77,28.0,5.1,9.1,.563,0.2,0.8,.222,4.9,8.3,.596
Kay Felder,PG,22,16,0,8.8,1.3,4.4,.300,0.3,1.2,.211,1.1,3.2,.333
Cristiano Felicio,C,25,55,16,17.8,2.3,3.9,.591,0.0,0.0,.000,2.3,3.9,.596
Raymond Felton,PG,33,82,2,16.6,2.7,6.7,.406,1.0,2.8,.352,1.7,3.9,.444
Terrance Ferguson,SG,19,61,12,12.5,1.1,2.8,.414,0.7,2.0,.333,0.5,0.8,.612
Yogi Ferrell,SG,24,82,21,27.8,3.8,8.9,.426,1.6,4.4,.373,2.2,4.5,.477
Dorian Finney-Smith,PF,24,21,13,21.3,2.2,5.8,.380,1.0,3.2,.299,1.2,2.6,.481
Bryn Forbes,SG,24,80,12,19.0,2.6,6.2,.421,1.1,2.9,.390,1.5,3.4,.446
Evan Fournier,SF,25,57,57,32.2,6.5,14.1,.459,2.2,5.9,.379,4.2,8.2,.516
De'Aaron Fox,PG,20,73,60,27.8,4.5,10.9,.412,0.6,2.1,.307,3.8,8.8,.436
Tim Frazier,PG,27,59,11,14.2,1.2,2.9,.395,0.3,0.9,.304,0.9,2.0,.440
Channing Frye,C,34,53,1,13.1,2.0,4.0,.491,0.7,2.2,.339,1.2,1.8,.670
Markelle Fultz,SG,19,14,0,18.1,3.2,7.9,.405,0.0,0.1,.000,3.2,7.9,.409
Danilo Gallinari,SF,29,21,21,32.0,4.9,12.2,.398,1.7,5.3,.324,3.1,6.9,.455
Langston Galloway,SG,26,58,2,14.9,2.2,5.9,.371,1.3,3.8,.344,0.9,2.1,.418
Marc Gasol,C,33,73,73,33.0,5.9,14.2,.420,1.5,4.4,.341,4.5,9.8,.456
Pau Gasol,C,37,77,63,23.5,3.7,8.1,.458,0.6,1.6,.358,3.2,6.6,.481
Rudy Gay,PF,31,57,6,21.6,4.4,9.4,.471,0.6,2.1,.314,3.8,7.4,.516
Paul George,SF,27,79,79,36.6,7.3,17.0,.430,3.1,7.7,.401,4.2,9.3,.454
Marcus Georges-Hunt,SG,23,42,0,5.3,0.5,1.1,.438,0.1,0.4,.267,0.4,0.8,.515
Jonathan Gibson,PG,30,4,0,10.0,3.5,5.8,.609,1.5,3.0,.500,2.0,2.8,.727
Taj Gibson,PF,32,82,82,33.2,5.2,9.0,.577,0.1,0.4,.200,5.1,8.6,.595
Manu Ginobili,SG,40,65,0,20.0,3.1,7.1,.434,1.0,3.0,.333,2.1,4.2,.506
