ime,pozicija,starost,odigrane_tekme,prva_postava,igralni_cas,uspesni_meti,poskusi_metov,procent_metov,meti_za_tri,poskusi_za_tri,procent_za_tri,met_za_dve,poskus_za_dve,procent_za_dve
Xavier Munford,SG,25,6,0,3.5,0.2,1.0,.167,0.0,0.3,.000,0.2,0.7,.250
Dejounte Murray,PG,21,81,48,21.5,3.3,7.5,.443,0.1,0.4,.265,3.2,7.1,.454
Jamal Murray,PG,20,81,80,31.7,5.9,13.1,.451,2.0,5.4,.378,3.9,7.7,.502
Mike Muscala,C,26,53,7,20.0,2.7,5.9,.458,1.2,3.2,.371,1.5,2.7,.559
Abdel Nader,SF,24,48,1,10.9,1.0,3.1,.336,0.5,1.4,.354,0.6,1.8,.321
Larry Nance,C,25,66,27,21.5,3.6,6.3,.581,0.0,0.2,.167,3.6,6.1,.594
Shabazz Napier,PG,26,74,10,20.7,3.0,7.2,.420,1.1,2.9,.376,1.9,4.2,.450
Jameer Nelson,PG,35,50,0,20.3,1.9,4.9,.389,0.8,2.5,.331,1.1,2.4,.450
Raul Neto,PG,25,41,0,12.1,1.7,3.7,.457,0.5,1.1,.404,1.2,2.5,.481
Georges Niang,PF,24,9,0,3.6,0.4,1.2,.364,0.0,0.4,.000,0.4,0.8,.571
Joakim Noah,C,32,7,0,5.7,0.7,1.4,.500,0.0,0.0,,0.7,1.4,.500
Nerlens Noel,C,23,30,6,15.7,1.8,3.5,.524,0.0,0.0,.000,1.8,3.5,.529
Lucas Nogueira,C,25,49,3,8.5,1.0,1.6,.613,0.1,0.4,.263,0.9,1.2,.721
Dirk Nowitzki,C,39,77,77,24.7,4.5,9.8,.456,1.8,4.4,.409,2.7,5.5,.494
Frank Ntilikina,PG,19,78,9,21.9,2.3,6.4,.364,0.6,2.0,.318,1.7,4.4,.385
Jusuf Nurkic,C,23,79,79,26.4,6.1,12.0,.505,0.0,0.1,.000,6.1,11.9,.508
David Nwaba,SG,25,70,21,23.5,2.9,6.0,.478,0.3,0.7,.346,2.6,5.3,.496
Johnny O'Bryant,PF,24,36,0,10.5,1.9,4.8,.398,0.4,1.2,.326,1.5,3.6,.422
Royce O'Neale,SF,24,69,4,16.7,1.7,4.1,.423,0.6,1.7,.356,1.1,2.4,.470
Kyle O'Quinn,C,27,77,10,18.0,2.9,5.0,.583,0.1,0.2,.235,2.9,4.8,.599
Semi Ojeleye,PF,23,73,0,15.8,0.9,2.6,.346,0.5,1.7,.320,0.3,0.9,.397
Emeka Okafor,C,35,26,19,13.6,1.8,3.7,.505,0.0,0.0,,1.8,3.7,.505
Jahlil Okafor,C,22,28,0,12.6,2.8,4.9,.558,0.0,0.1,.250,2.7,4.8,.567
Victor Oladipo,SG,25,75,75,34.0,8.5,17.9,.477,2.1,5.8,.371,6.4,12.1,.528
Kelly Olynyk,PF,26,76,22,23.4,4.2,8.4,.497,1.4,3.7,.379,2.8,4.7,.590
Chinanu Onuaku,C,21,1,0,22.0,2.0,5.0,.400,0.0,0.0,,2.0,5.0,.400
Cedi Osman,SF,22,61,12,11.0,1.5,3.0,.484,0.5,1.4,.368,1.0,1.6,.586
Kelly Oubre,SF,22,81,11,27.5,3.9,9.8,.403,1.6,4.6,.341,2.4,5.2,.456
Zaza Pachulia,C,33,69,57,14.1,2.2,3.8,.564,0.0,0.0,.000,2.2,3.8,.567
Marcus Paige,PG,24,5,0,5.6,0.8,2.8,.286,0.4,1.6,.250,0.4,1.2,.333
Georgios Papagiannis,C,20,17,0,7.2,1.1,2.5,.429,0.0,0.0,,1.1,2.5,.429
Jabari Parker,PF,22,31,3,24.0,5.2,10.7,.482,1.0,2.6,.383,4.2,8.1,.514
Tony Parker,PG,35,55,21,19.5,3.2,7.1,.459,0.2,0.7,.270,3.1,6.4,.479
Chandler Parsons,SF,29,36,8,19.2,3.0,6.5,.462,1.4,3.4,.421,1.6,3.1,.504
Patrick Patterson,PF,28,82,3,15.5,1.3,3.2,.398,0.8,2.1,.386,0.5,1.2,.421
Justin Patton,C,20,1,0,4.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500
Brandon Paul,SG,26,64,2,9.0,0.9,2.0,.433,0.2,0.8,.278,0.6,1.1,.548
Chris Paul,PG,32,58,58,31.8,6.3,13.8,.460,2.5,6.5,.380,3.8,7.2,.532
Adreian Payne,PF,26,5,0,8.6,1.4,2.0,.700,0.4,0.6,.667,1.0,1.4,.714
Cameron Payne,PG,23,25,14,23.3,3.5,8.6,.405,1.4,3.6,.385,2.1,5.0,.419
Elfrid Payton,PG,23,63,63,28.7,5.2,10.6,.493,0.5,1.5,.326,4.7,9.1,.520
Gary Payton,PG,25,23,6,9.6,1.3,3.2,.405,0.3,1.1,.240,1.0,2.1,.490
Kendrick Perkins,C,33,1,0,15.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500
London Perrantes,PG,23,14,0,4.7,0.1,0.9,.154,0.0,0.2,.000,0.1,0.7,.200
Alec Peters,PF,22,20,0,11.3,1.4,3.7,.378,0.9,2.9,.310,0.5,0.8,.625
Marshall Plumlee,C,25,8,0,6.5,0.1,0.4,.333,0.0,0.0,,0.1,0.4,.333
Mason Plumlee,C,27,74,26,19.4,3.0,5.0,.601,0.0,0.0,.000,3.0,5.0,.602
Miles Plumlee,C,29,55,35,16.7,1.9,3.3,.583,0.0,0.0,,1.9,3.3,.583
Jakob Poeltl,C,22,82,0,18.6,3.1,4.7,.659,0.0,0.0,.500,3.1,4.7,.660
Quincy Pondexter,SF,29,23,1,8.5,0.6,2.1,.286,0.1,1.0,.136,0.5,1.2,.407
Otto Porter,SF,24,77,77,31.6,5.8,11.5,.503,1.8,4.1,.441,4.0,7.4,.537
Bobby Portis,PF,22,73,4,22.5,5.2,11.1,.471,1.1,3.1,.359,4.1,8.1,.514
Kristaps Porzingis,PF,22,48,48,32.4,8.1,18.5,.439,1.9,4.8,.395,6.3,13.8,.454
Dwight Powell,C,26,79,25,21.2,3.2,5.4,.593,0.4,1.1,.333,2.9,4.4,.656
Norman Powell,SG,24,70,18,15.2,2.1,5.3,.401,0.8,2.7,.285,1.4,2.7,.516
Alex Poythress,PF,24,25,0,4.2,0.4,1.0,.423,0.2,0.4,.364,0.3,0.6,.467
Jacob Pullen,PG,28,3,0,2.0,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000
Rodney Purvis,SG,23,16,2,18.1,2.2,6.7,.327,0.8,3.3,.250,1.4,3.4,.400
Zhou Qi,C,22,18,0,6.9,0.3,1.8,.188,0.1,1.1,.105,0.2,0.7,.308
Tim Quarterman,SG,23,3,0,4.3,0.3,1.0,.333,0.0,0.7,.000,0.3,0.3,1.000
Ivan Rabb,PF,20,36,5,14.3,2.4,4.2,.566,0.0,0.0,,2.4,4.2,.566
Julius Randle,C,23,82,49,26.7,6.1,11.0,.558,0.1,0.5,.222,6.0,10.5,.575
Zach Randolph,PF,36,59,57,25.6,6.1,12.9,.473,0.9,2.5,.347,5.3,10.4,.503
Xavier Rathan-Mayes,SG,23,5,0,23.6,2.4,8.4,.286,0.2,2.8,.071,2.2,5.6,.393
J.J. Redick,SG,33,70,70,30.2,5.8,12.6,.460,2.8,6.6,.420,3.0,6.0,.504
Davon Reed,SG,22,21,1,11.5,1.0,3.6,.289,0.5,1.8,.289,0.5,1.8,.289
Willie Reed,C,27,42,5,10.2,1.9,2.9,.669,0.0,0.0,.500,1.9,2.8,.672
Josh Richardson,SF,24,81,81,33.2,4.9,10.9,.451,1.6,4.1,.378,3.4,6.8,.495
Malachi Richardson,SG,22,26,4,12.5,1.2,3.5,.333,0.5,1.5,.300,0.7,1.9,.360
Austin Rivers,SG,25,61,59,33.7,5.6,13.2,.424,2.2,5.9,.378,3.4,7.3,.461
Andre Roberson,SG,26,39,39,26.6,2.2,4.2,.537,0.2,0.9,.222,2.0,3.2,.627
Devin Robinson,SF,22,1,0,13.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333
Glenn Robinson,SF,24,23,1,14.7,1.6,3.7,.424,0.6,1.5,.412,1.0,2.2,.431
Rajon Rondo,PG,31,65,63,26.2,3.6,7.6,.468,0.8,2.3,.333,2.8,5.3,.526
Derrick Rose,PG,29,25,7,16.8,3.2,7.4,.435,0.3,1.2,.233,3.0,6.2,.474
Terrence Ross,SG,26,24,20,25.0,3.2,8.0,.398,1.3,3.9,.323,1.9,4.1,.469
Terry Rozier,PG,23,80,16,25.9,4.0,10.0,.395,1.9,5.0,.381,2.0,5.0,.410
Ricky Rubio,PG,27,77,77,29.3,4.5,10.7,.418,1.2,3.5,.352,3.2,7.2,.451
D'Angelo Russell,PG,21,48,35,25.7,5.8,14.0,.414,1.9,5.8,.324,3.9,8.2,.477
Domantas Sabonis,C,21,74,19,24.5,4.6,8.9,.514,0.2,0.5,.351,4.4,8.4,.524
JaKarr Sampson,SF,24,22,6,15.6,2.0,3.7,.543,0.2,0.5,.500,1.8,3.2,.549
Dario Saric,PF,23,78,73,29.6,5.2,11.4,.453,2.0,5.1,.393,3.2,6.3,.501
Tomas Satoransky,SG,26,73,30,22.5,2.8,5.3,.523,0.6,1.4,.465,2.1,3.9,.544
Dennis Schroder,PG,24,67,67,31.0,7.5,17.1,.436,1.1,3.9,.290,6.3,13.2,.480
Mike Scott,PF,29,76,1,18.5,3.6,6.9,.527,0.9,2.1,.405,2.8,4.8,.582
Thabo Sefolosha,SF,33,38,6,21.2,3.1,6.3,.492,0.8,2.2,.381,2.3,4.1,.551
Wayne Selden,SG,23,35,9,19.8,3.3,7.7,.431,1.4,3.5,.402,1.9,4.2,.456
Ramon Sessions,PG,31,28,3,14.0,1.5,4.2,.359,0.3,0.9,.308,1.2,3.3,.374
Iman Shumpert,SG,27,14,6,19.7,1.6,4.1,.379,0.5,1.9,.269,1.1,2.3,.469
Pascal Siakam,PF,23,81,5,20.7,3.1,6.1,.508,0.4,1.6,.220,2.8,4.5,.612
Xavier Silas,SG,30,2,0,3.5,0.0,1.5,.000,0.0,1.0,.000,0.0,0.5,.000
Ben Simmons,PG,21,81,81,33.7,6.7,12.3,.545,0.0,0.1,.000,6.7,12.2,.551
Jonathon Simmons,SG,28,69,50,29.4,5.1,11.0,.465,1.0,3.0,.338,4.1,8.1,.512
Kobi Simmons,PG,20,32,12,20.1,2.5,5.9,.423,0.3,1.2,.282,2.2,4.7,.460
Kyle Singler,SF,29,12,0,4.9,0.6,1.8,.333,0.2,0.4,.400,0.4,1.3,.313
Marcus Smart,SG,23,54,11,29.9,3.5,9.5,.367,1.4,4.6,.301,2.1,4.9,.429
Dennis Smith,PG,20,69,69,29.7,5.9,14.8,.395,1.5,4.9,.313,4.3,9.9,.435
Ish Smith,PG,29,82,35,24.9,4.7,9.8,.486,0.4,1.2,.347,4.3,8.5,.506
J.R. Smith,SG,32,80,61,28.1,3.0,7.4,.403,1.8,4.8,.375,1.2,2.7,.453
Jason Smith,C,31,33,2,8.6,1.4,3.5,.391,0.1,1.0,.125,1.2,2.5,.494
Josh Smith,PF,32,3,0,4.0,0.3,1.3,.250,0.0,0.0,,0.3,1.3,.250
Tony Snell,SG,26,75,59,27.4,2.5,5.7,.435,1.4,3.6,.403,1.0,2.1,.490
Marreese Speights,C,30,52,3,13.0,2.7,6.7,.395,1.7,4.5,.369,1.0,2.2,.448
Nik Stauskas,SG,24,41,0,12.8,1.5,3.8,.390,1.0,2.4,.400,0.5,1.3,.370
Lance Stephenson,SG,27,82,7,22.6,3.7,8.6,.427,0.8,2.8,.289,2.9,5.8,.495
David Stockton,PG,26,3,0,3.0,0.7,1.0,.667,0.7,1.0,.667,0.0,0.0,
Julyan Stone,SG,29,23,0,7.6,0.3,0.6,.462,0.3,0.6,.462,0.0,0.0,
Edmond Sumner,PG,22,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000
Caleb Swanigan,PF,20,27,3,7.0,0.9,2.2,.400,0.0,0.3,.125,0.9,1.9,.442
Jayson Tatum,SF,19,80,80,30.5,5.0,10.4,.475,1.3,3.0,.434,3.7,7.4,.492
Isaiah Taylor,PG,23,67,9,17.4,2.4,5.8,.418,0.3,1.2,.250,2.1,4.6,.461
Jeff Teague,PG,29,70,70,33.0,5.1,11.3,.446,1.2,3.3,.368,3.9,8.1,.477
Marquis Teague,PG,24,3,0,24.7,1.3,5.3,.250,0.3,1.3,.250,1.0,4.0,.250
Mirza Teletovic,PF,32,10,0,15.9,2.5,5.7,.439,2.1,4.5,.467,0.4,1.2,.333
Garrett Temple,SG,31,65,35,24.8,3.1,7.3,.418,1.4,3.5,.392,1.7,3.8,.442
Milos Teodosic,PG,30,45,36,25.2,3.4,8.0,.419,2.0,5.2,.379,1.4,2.8,.492
Jason Terry,SG,40,51,4,16.0,1.2,3.0,.383,0.8,2.3,.348,0.4,0.8,.487
Daniel Theis,C,25,63,3,14.9,2.0,3.7,.541,0.3,0.9,.310,1.7,2.8,.617
Isaiah Thomas,PG,28,32,15,26.9,4.9,13.2,.373,1.7,5.9,.293,3.2,7.3,.438
Lance Thomas,PF,29,73,31,18.5,1.4,3.7,.382,0.7,1.7,.403,0.7,2.0,.364
Klay Thompson,SG,27,73,73,34.3,7.9,16.2,.488,3.1,7.1,.440,4.7,9.0,.526
Tristan Thompson,C,26,53,22,20.2,2.5,4.4,.562,0.0,0.0,,2.5,4.4,.562
Sindarius Thornwell,SG,23,73,17,15.8,1.4,3.2,.429,0.3,0.8,.377,1.1,2.4,.448
Anthony Tolliver,PF,32,79,14,22.2,2.8,6.0,.464,2.0,4.6,.436,0.8,1.4,.561
Karl-Anthony Towns,C,22,82,82,35.6,7.8,14.3,.545,1.5,3.5,.421,6.3,10.8,.585
P.J. Tucker,PF,32,82,34,27.8,2.1,5.4,.390,1.4,3.8,.371,0.7,1.6,.435
Evan Turner,SF,29,79,40,25.7,3.3,7.3,.447,0.5,1.7,.318,2.7,5.6,.485
Myles Turner,C,21,65,62,28.2,4.7,9.8,.479,0.9,2.4,.357,3.8,7.4,.519
Ekpe Udoh,C,30,63,3,12.9,1.0,1.9,.500,0.0,0.0,.000,1.0,1.9,.504
Tyler Ulis,PG,22,71,43,23.4,3.0,7.8,.388,0.6,2.1,.288,2.4,5.7,.425
Jonas Valanciunas,C,25,77,77,22.4,5.1,8.9,.568,0.4,1.0,.405,4.7,8.0,.587
Denzel Valentine,SG,24,77,37,27.2,3.9,9.4,.417,1.9,4.8,.386,2.1,4.6,.450
Fred VanVleet,PG,23,76,0,20.0,3.1,7.2,.426,1.4,3.4,.414,1.6,3.7,.437
Rashad Vaughn,SG,21,28,0,7.6,0.8,2.0,.411,0.5,1.3,.378,0.3,0.7,.474
Noah Vonleh,PF,22,54,16,16.2,1.9,4.3,.444,0.4,1.2,.303,1.6,3.1,.500
Nikola Vucevic,C,27,57,57,29.5,7.0,14.7,.475,1.1,3.6,.314,5.9,11.2,.527
Dwyane Wade,SG,36,67,3,22.9,4.5,10.2,.438,0.5,1.7,.288,4.0,8.5,.468
Dion Waiters,SG,26,30,30,30.6,5.4,13.7,.398,1.7,5.7,.306,3.7,8.0,.463
Kemba Walker,PG,27,80,80,34.2,7.4,17.0,.431,2.9,7.5,.384,4.5,9.5,.469
John Wall,PG,27,41,41,34.4,6.8,16.3,.420,1.5,4.1,.371,5.3,12.2,.436
Tyrone Wallace,PG,23,30,19,28.4,3.7,8.2,.445,0.3,1.3,.250,3.3,6.9,.483
Taurean Waller-Prince,SF,23,82,82,30.0,5.1,11.9,.426,2.1,5.6,.385,2.9,6.3,.461
Derrick Walton,PG,22,16,0,9.2,0.5,1.6,.320,0.4,1.1,.412,0.1,0.5,.125
Jameel Warney,PF,24,3,0,9.0,2.3,4.0,.583,0.0,0.0,,2.3,4.0,.583
T.J. Warren,SF,24,65,65,33.0,8.1,16.4,.498,0.3,1.4,.222,7.8,15.0,.523
Travis Wear,SF,27,17,0,13.4,1.5,4.2,.347,1.0,2.8,.362,0.5,1.5,.320
James Webb,SF,24,10,0,12.0,0.6,2.4,.250,0.4,1.9,.211,0.2,0.5,.400
Briante Weber,PG,25,18,0,13.2,1.1,2.4,.442,0.2,0.6,.364,0.8,1.8,.469
David West,C,37,73,0,13.7,3.0,5.2,.571,0.0,0.1,.375,2.9,5.1,.576
Russell Westbrook,PG,29,80,80,36.4,9.5,21.1,.449,1.2,4.1,.298,8.3,17.0,.485
Andrew White,SF,24,15,0,13.9,1.7,4.9,.342,1.2,3.3,.367,0.5,1.6,.292
Derrick White,PG,23,17,0,8.2,0.9,1.9,.485,0.5,0.8,.615,0.5,1.2,.400
Okaro White,PF,25,6,4,13.3,1.2,2.7,.438,0.7,1.8,.364,0.5,0.8,.600
Isaiah Whitehead,PG,22,16,0,11.3,2.5,5.4,.465,0.4,1.1,.389,2.1,4.3,.485
Hassan Whiteside,C,28,54,54,25.3,5.8,10.7,.540,0.0,0.0,1.000,5.7,10.7,.538
Andrew Wiggins,SF,22,82,82,36.3,6.9,15.9,.438,1.4,4.1,.331,5.6,11.7,.475
Jacob Wiley,PF,23,5,0,6.6,0.2,0.8,.250,0.2,0.4,.500,0.0,0.4,.000
Damien Wilkins,SF,38,19,1,8.0,0.7,2.1,.333,0.2,0.9,.222,0.5,1.1,.429
Alan Williams,PF,25,5,0,14.0,1.4,3.6,.389,0.0,0.0,,1.4,3.6,.389
C.J. Williams,SG,27,38,17,18.6,2.3,5.2,.442,0.6,2.1,.282,1.7,3.1,.546
Derrick Williams,PF,26,2,0,4.5,0.5,2.0,.250,0.0,1.0,.000,0.5,1.0,.500
Lou Williams,SG,31,79,19,32.8,7.4,16.9,.435,2.4,6.6,.359,5.0,10.4,.484
Marvin Williams,PF,31,78,78,25.7,3.3,7.2,.458,1.6,3.9,.413,1.7,3.3,.512
Matt Williams,SG,24,3,0,3.7,0.7,2.0,.333,0.3,1.7,.200,0.3,0.3,1.000
Troy Williams,SF,23,21,1,14.6,2.4,5.2,.468,0.5,1.8,.289,1.9,3.4,.563
D.J. Wilson,PF,21,22,0,3.2,0.4,0.7,.563,0.1,0.2,.400,0.3,0.5,.636
Jamil Wilson,SF,27,15,10,18.3,2.5,5.4,.469,1.8,4.2,.429,0.7,1.2,.611
Justise Winslow,PF,21,68,25,24.7,3.0,7.2,.424,0.7,1.9,.380,2.3,5.3,.440
Jeff Withey,C,27,9,0,4.3,0.7,1.8,.375,0.2,1.1,.200,0.4,0.7,.667
Nate Wolters,PG,26,5,0,3.8,0.2,1.2,.167,0.0,0.0,,0.2,1.2,.167
Brandan Wright,PF,30,28,1,13.6,2.1,3.6,.578,0.0,0.0,,2.1,3.6,.578
Delon Wright,PG,25,69,4,20.8,2.9,6.3,.465,0.8,2.2,.366,2.1,4.0,.520
Guerschon Yabusele,PF,22,33,4,7.1,0.8,1.8,.426,0.4,1.1,.324,0.4,0.7,.583
James Young,SG,22,6,0,10.2,0.8,2.3,.357,0.5,1.7,.300,0.3,0.7,.500
Joe Young,PG,25,53,1,10.5,1.5,3.5,.430,0.5,1.2,.379,1.0,2.3,.458
Nick Young,SG,32,80,8,17.4,2.5,6.1,.412,1.5,4.1,.377,1.0,2.0,.481
Thaddeus Young,PF,29,81,81,32.2,5.2,10.7,.487,0.7,2.2,.320,4.5,8.4,.531
Cody Zeller,C,25,33,0,19.0,2.6,4.7,.545,0.1,0.1,.667,2.5,4.6,.542
Tyler Zeller,C,28,66,34,16.8,2.8,5.1,.560,0.2,0.4,.357,2.7,4.6,.578
Paul Zipser,SF,23,54,12,15.3,1.5,4.3,.346,0.7,2.0,.336,0.8,2.3,.355
Ante Zizic,C,21,32,2,6.7,1.5,2.1,.731,0.0,0.0,,1.5,2.1,.731
Ivica Zubac,C,20,43,0,9.5,1.4,2.8,.500,0.0,0.0,.000,1.4,2.8,.504
